,mds_x,mds_y,channel,month,title,year
1492,24.10028194655504,-3.251892597872624,Cine34,marzo,pierino il fichissimo,1981
1493,16.589655216758455,7.0935861737540575,Cine34,marzo,e adesso sesso,2001
1494,14.49332695161959,-21.408859778886335,Cine34,marzo,"zucchero, miele e peperoncino",1980
1495,10.415283651598308,-2.7805328054098024,Cine34,marzo,tutto suo padre,1976
1496,26.55945368233432,1.6244549264553458,Cine34,marzo,"franco, ciccio e le vedove allegre",1968
1497,-10.789064926502766,-15.468036083721136,Cine34,marzo,amarcord,1973
1498,7.743273638255367,-12.976815271742758,Cine34,marzo,l'anatra all'arancia,1975
1499,20.367458140692325,6.386503804783368,Cine34,marzo,il ragazzo del pony express,1986
1500,15.423419216759465,-0.0616848337393525,Cine34,marzo,il commissario lo gatto,1986
1501,22.25337807397061,2.3395424983562148,Cine34,marzo,il ritorno del monnezza,2005
1502,12.478459496806302,-16.641728389842942,Cine34,marzo,attila flagello di dio,1982
1503,2.762808729913271,19.591282422667465,Cine34,marzo,fantozzi alla riscossa,1990
1504,-20.88320355301695,-12.863486073371645,Cine34,marzo,alex l'ariete,2000
1505,17.365239744838984,-0.1767518891626018,Cine34,marzo,banzai,1997
1506,13.73033899334106,8.844987221274467,Cine34,marzo,banzai,1997
1507,11.6636217528618,-16.459191806298577,Cine34,marzo,c'era un cinese in coma,2000
1508,22.82741058070052,-4.373711545730934,Cine34,marzo,sogni mostruosamente proibiti,1982
1509,11.24973669848335,-2.3091844110279367,Cine34,marzo,scherzi da prete,1978
1510,14.447896412233954,-6.970408910878758,Cine34,marzo,io speriamo che me la cavo,1992
1511,7.85376546248423,-6.195111677375436,Cine34,marzo,roba da ricchi,1987
1512,15.936403319941224,-2.5202376373398905,Cine34,marzo,fantozzi in paradiso,1993
1513,13.043885971898185,-3.238405551280334,Cine34,marzo,fantozzi in paradiso,1993
1514,23.02986479880608,7.11758447466195,Cine34,marzo,i giorni del commissario ambrosio,1988
1515,-0.0048272884500256,-18.10141727032064,Cine34,marzo,mi fido di te,2007
1516,0.4486024195730515,-13.311163544049451,Cine34,marzo,la cosa buffa,1972
1517,3.210118927200708,0.1238543864914772,Cine34,marzo,volere volare,1991
1518,20.32822745203711,-5.031828329076681,Cine34,marzo,i due evasi di sing sing,1964
1519,0.3306655777623501,-38.26355960289036,Cine34,marzo,il profeta,1968
1520,9.409905477548586,14.602311377577324,Cine34,marzo,teste di cocco,2000
1521,13.413607021271163,22.70364819641056,Cine34,marzo,pierino il fichissimo,1981
1522,4.891423584871927,24.54667852713041,Cine34,marzo,il macellaio,1998
1523,9.160489886599557,25.708776880813744,Cine34,marzo,la leggenda del rubino malese,1985
1524,-1.4388170239357787,20.31329835093759,Cine34,marzo,l'anatra all'arancia,1975
1525,12.030467382851707,20.843772878386464,Cine34,marzo,supercolpo da 7 miliardi,1967
1526,-0.3776995308070159,-37.459148896643946,Cine34,marzo,gastone,1960
1527,6.707644741720248,23.183317982454085,Cine34,marzo,chicken park,1994
1528,11.718628436972086,23.33789345706014,Cine34,marzo,pierino medico della saub,1981
1529,7.673297710738898,25.592210219976728,Cine34,marzo,sogni mostruosamente proibiti,1982
1530,3.1518396942894245,26.97238049301157,Cine34,marzo,ride bene... chi ride ultimo,1977
1531,2.4337874730795,13.24081909955875,Cine34,marzo,il domestico,1974
1532,23.75860255655443,-44.29306106823974,Cine34,marzo,i soliti ignoti vent'anni dopo,1985
1533,10.571029599308591,19.628593858172188,Cine34,marzo,pierino colpisce ancora,1982
1534,18.34836446229213,-7.213480923572481,Cine34,marzo,i 4 tassisti,1963
1535,27.674101000040174,10.115303312191172,Cine34,marzo,"zambo, il dominatore della foresta",1972
1536,0.8149223644532642,20.442235812131912,Cine34,marzo,la donna della luna,1988
1537,0.1214258887787192,16.839697078173415,Cine34,marzo,il profeta,1968
1538,12.663308284191745,0.4479832948838285,Cine34,marzo,camere da letto,1997
1539,1.7416439549711034,-7.102114571802839,Cine34,marzo,camerieri,1995
1540,1.8938809942792647,12.213644475884143,Cine34,marzo,cane e gatto,1983
1541,13.254147138483251,-13.43978159823103,Cine34,marzo,prestazione straordinaria,1994
1542,-1.9025650394563005,0.3993768722200808,Cine34,marzo,ferie d'agosto,1996
1543,-13.21238808788014,-16.195612372696626,Cine34,marzo,il comune senso del pudore,1976
1544,23.923126718198283,-16.40430441567094,Cine34,marzo,40 gradi all'ombra del lenzuolo,1976
1545,-4.867434063965706,17.514072339158872,Cine34,marzo,italian secret service,1968
1546,27.347883277275,-6.691462470281187,Cine34,marzo,"franco, ciccio e il pirata barbanera",1969
1547,26.49557224767128,7.932982564436986,Cine34,marzo,"franco, ciccio e il pirata barbanera",1969
1548,-7.13015453195147,22.09613002269569,Cine34,marzo,un esercito di 5 uomini,1969
1549,24.115229928860597,-9.345225153453752,Cine34,marzo,la leggenda del rubino malese,1985
1550,14.969558441071118,-6.367644946968776,Cine34,marzo,il letto in piazza,1976
1551,11.303460937670572,-11.255370371820057,Cine34,marzo,l'anatra all'arancia,1975
1552,23.8914989933388,7.773114913952074,Cine34,marzo,carabinieri si nasce,1985
1553,21.58285134794164,-17.00361901999397,Cine34,marzo,supercolpo da 7 miliardi,1967
1554,17.94071549138397,0.4344903526858711,Cine34,marzo,pierino contro tutti,1981
1555,15.30810417313585,-7.88890119043495,Cine34,marzo,attila flagello di dio,1982
1556,14.139809501281082,22.78225217152514,Cine34,marzo,mia moglie torna a scuola,1981
1557,-2.835992915524184,-0.0561397868946171,Cine34,marzo,chiari di luna,1988
1558,20.343188571916844,-10.896228793268914,Cine34,marzo,chicken park,1994
1559,16.26028184541951,-7.903475256990843,Cine34,marzo,prestami tua moglie,1980
1560,23.367524162765285,-2.353118812995489,Cine34,marzo,pierino medico della saub,1981
1561,20.02327980411151,-0.5875560719449567,Cine34,marzo,il commissario di ferro,1978
1562,-14.396265003116593,13.305993609398024,Cine34,marzo,l'uomo delle stelle,1995
1563,-13.9353021913394,12.354277727896934,Cine34,marzo,l'uomo delle stelle,1995
1564,15.451798341023,4.875124785859958,Cine34,marzo,commedia sexy,2001
1565,-1.5299721650071565,-5.30038389556752,Cine34,marzo,puerto escondido,1992
1566,-1.885827193168192,-3.794198385365014,Cine34,marzo,puerto escondido,1992
1567,25.112970799006863,-4.624244485089768,Cine34,marzo,i giorni del commissario ambrosio,1988
1568,11.612169999173242,-15.311914429660511,Cine34,marzo,arrivederci e grazie,1988
1569,3.8454944789113696,-3.9109401606093663,Cine34,marzo,la bocca,1991
1570,7.551339075092944,-8.922938901638927,Cine34,marzo,il domestico,1974
1571,13.012580824582429,11.095311965151687,Cine34,marzo,una sera c'incontrammo,1975
1572,-11.202729484844037,-10.01082224533984,Cine34,marzo,mamma roma,1962
1573,1.001046070877261,-6.472473970176936,Cine34,marzo,la cosa buffa,1972
1574,-13.833069055916877,-18.11069669453215,Cine34,marzo,pasqualino settebellezze,1975
1575,24.805621634298312,0.9987053484942154,Cine34,marzo,belli e brutti ridono tutti,1979
1576,15.103906617356856,-1.127301297596204,Cine34,marzo,lady barbara,1970
1577,11.233459850579491,20.881473406005004,Cine34,marzo,i due evasi di sing sing,1964
1578,17.33875470768854,-8.491175172081038,Cine34,marzo,i 4 tassisti,1963
1579,29.816369152055604,-2.174640653321092,Cine34,marzo,"zambo, il dominatore della foresta",1972
1580,7.1944369949348825,-32.87813656703248,Cine34,luglio,7 chili in 7 giorni,1986
1581,7.323799369864128,-35.07444730321857,Cine34,luglio,7 chili in 7 giorni,1986
1582,-2.017370611639311,-18.450008103789752,Cine34,luglio,mediterraneo,1991
1583,10.79380710080399,-7.697793939681861,Cine34,luglio,infelici e contenti,1992
1584,9.72177444410027,-7.264754022707931,Cine34,luglio,infelici e contenti,1992
1585,12.220952057592248,-6.345716830901077,Cine34,luglio,vacanze in america,1984
1586,20.95588191216874,11.027000787480135,Cine34,luglio,dottor jekyll e gentile signora,1979
1587,9.89479384674952,-10.348563160211537,Cine34,luglio,colpo di fulmine,1985
1588,8.14128583405243,-5.420841185258961,Cine34,luglio,scuola di ladri,1986
1589,1.730379450167138,-22.67231064441087,Cine34,luglio,febbre da cavallo,1976
1590,2.642738962957707,-18.822881321443266,Cine34,luglio,perdiamoci di vista,1994
1591,7.2424060636500895,-3.2044364477120864,Cine34,luglio,piedipiatti,1991
1592,7.533863338389937,-5.6283360002427125,Cine34,luglio,piedipiatti,1991
1593,-3.087005892986566,-14.795654281911563,Cine34,luglio,scusate il ritardo,1983
1594,5.268003902868777,-21.848571888874687,Cine34,luglio,stasera a casa di alice,1990
1595,6.137317778005957,-15.016153710479813,Cine34,luglio,stasera a casa di alice,1990
1596,10.914184707061022,0.7171911910677714,Cine34,luglio,a ruota libera,2000
1597,4.58011444792894,-6.097457869838215,Cine34,luglio,i laureati,1995
1598,4.590520212377287,-8.862715831485419,Cine34,luglio,i laureati,1995
1599,10.600652830490594,-0.2300368769250584,Cine34,luglio,le nuove comiche,1994
1600,-1.5984780646798196,-8.474966861109865,Cine34,luglio,ovosodo,1997
1601,-1.5802692961055185,-9.156864374888588,Cine34,luglio,ovosodo,1997
1602,8.2222942178493,-14.646482767170356,Cine34,luglio,south kensington,2001
1603,8.24381775307429,-11.938057606596567,Cine34,luglio,south kensington,2001
1604,6.683507971795654,6.005993281014145,Cine34,luglio,i pompieri,1985
1605,17.31090807040229,-45.36673490038823,Cine34,luglio,abbronzatissimi,1991
1606,20.268434243630374,-3.7884756166769167,Cine34,luglio,"zucchero, miele e peperoncino",1980
1607,18.219726891934545,-13.138740546631473,Cine34,luglio,"zucchero, miele e peperoncino",1980
1608,10.740878046800889,-13.324767628642803,Cine34,luglio,gallo cedrone,1998
1609,8.33795947491376,-15.645262956335266,Cine34,luglio,gallo cedrone,1998
1610,9.211228092411622,-11.96127070834142,Cine34,luglio,gallo cedrone,1998
1611,23.18794801410487,-22.914603593991178,Cine34,luglio,il presidente del borgorosso football club,1970
1612,27.59058514102231,-13.013363571645153,Cine34,luglio,il presidente del borgorosso football club,1970
1613,12.550401454048757,5.109585994093565,Cine34,luglio,il pesce innamorato,1999
1614,1.6162263072278216,-8.217855034572846,Cine34,luglio,acqua e sapone,1983
1615,8.30326280145505,4.66001698700744,Cine34,luglio,svitati,1999
1616,21.17888124831556,-4.93714296344216,Cine34,luglio,il ragazzo del pony express,1986
1617,21.253094756052224,-6.726291193984481,Cine34,luglio,il ragazzo del pony express,1986
1618,6.374825969436696,-11.340063781467864,Cine34,luglio,il barbiere di rio,1996
1619,13.73636422202887,-15.272296546270027,Cine34,luglio,il tenente dei carabinieri,1986
1620,3.929361755822677,-12.904519678329216,Cine34,luglio,tutti dentro,1984
1621,21.84259343859461,4.995657240457861,Cine34,luglio,il silenzio dei prosciutti,1994
1622,11.356146974413294,-5.247942762508146,Cine34,luglio,c'era un cinese in coma,2000
1623,-3.339113952803314,2.6552095799555366,Cine34,luglio,borotalco,1982
1624,24.07200308337965,-0.1760952413933983,Cine34,luglio,sogni mostruosamente proibiti,1982
1625,20.29870875345028,-4.937678454983468,Cine34,luglio,occhio alla perestrojka,1990
1626,-5.174808472093201,-19.12448343420451,Cine34,luglio,il postino,1994
1627,19.15888185614317,-2.376304315529537,Cine34,luglio,sbamm!,1980
1628,9.98389885704358,-12.343832586791905,Cine34,luglio,l'allenatore nel pallone,1984
1629,5.511858190561893,-6.709376111428068,Cine34,luglio,i 2 deputati,1968
1630,11.26656597870389,5.34762640316785,Cine34,luglio,viola bacia tutti,1998
1631,20.031937222552624,-9.360613952970098,Cine34,luglio,il paradiso all'improvviso,2003
1632,1.0332918355761562,-35.243285436314146,Cine34,luglio,7 chili in 7 giorni,1986
1633,6.691554494881259,-30.55680822796407,Cine34,luglio,7 chili in 7 giorni,1986
1634,0.252360730726499,2.465187716075444,Cine34,luglio,camerieri,1995
1635,-1.0311281881615693,-11.585382690910574,Cine34,luglio,mediterraneo,1991
1636,8.912365167412801,-0.9616232046188498,Cine34,luglio,infelici e contenti,1992
1637,10.196074280436244,-13.71622534447792,Cine34,luglio,infelici e contenti,1992
1638,12.329474816129958,-4.7940354316638185,Cine34,luglio,vacanze in america,1984
1639,13.69499250411884,4.01165384263826,Cine34,luglio,adulterio all'italiana,1966
1640,9.890739073258397,-6.340629947908923,Cine34,luglio,scuola di ladri,1986
1641,8.657354507301765,-5.169730268771676,Cine34,luglio,scuola di ladri,1986
1642,10.534488090464496,-14.594172052144314,Cine34,luglio,scuola di ladri,1986
1643,10.763401716380214,-9.40708436302298,Cine34,luglio,scuola di ladri,1986
1644,3.906194248222706,-14.833367385667538,Cine34,luglio,febbre da cavallo,1976
1645,2.9754645673022417,-18.110760692014505,Cine34,luglio,febbre da cavallo,1976
1646,2.854132328062622,-18.556164999932506,Cine34,luglio,febbre da cavallo,1976
1647,7.362148969988497,-3.495861540241642,Cine34,luglio,piedipiatti,1991
1648,7.170291342547002,-1.941603334152612,Cine34,luglio,piedipiatti,1991
1649,14.55787030159817,8.686124684470283,Cine34,luglio,la ragazza fuoristrada,1973
1650,0.3336878842838948,-6.380476317205267,Cine34,luglio,cari fottutissimi amici,1994
1651,0.2436413489543024,-10.658808788704254,Cine34,luglio,cari fottutissimi amici,1994
1652,13.19295817987344,2.5158996036062438,Cine34,luglio,facciamo fiesta,1997
1653,8.075141075310727,16.77318983641357,Cine34,luglio,un bugiardo in paradiso,1998
1654,4.397623618293244,-5.047790705766877,Cine34,luglio,i laureati,1995
1655,4.292281159067254,-9.892938297808946,Cine34,luglio,i laureati,1995
1656,10.684526599436118,0.7182435836876392,Cine34,luglio,le nuove comiche,1994
1657,-1.79848310005158,-6.995701235295093,Cine34,luglio,ovosodo,1997
1658,7.872265980300624,-8.304560396181586,Cine34,luglio,south kensington,2001
1659,8.714522696285798,-10.42764028337982,Cine34,luglio,south kensington,2001
1660,10.716881594010326,-8.81919279781467,Cine34,luglio,i pompieri,1985
1661,17.113922671221104,-44.66388521750056,Cine34,luglio,abbronzatissimi,1991
1662,8.411666089244866,-11.409905761794002,Cine34,luglio,gallo cedrone,1998
1663,27.34965628542627,-15.333081346199856,Cine34,luglio,il presidente del borgorosso football club,1970
1664,11.4359973877314,-16.51261348272441,Cine34,luglio,noi uomini duri,1987
1665,8.834679307035254,25.30959569393494,Cine34,luglio,vita smeralda,2006
1666,14.267663593051337,-2.6695075882963386,Cine34,luglio,il pesce innamorato,1999
1667,1.6380442783365274,-9.912463063378008,Cine34,luglio,acqua e sapone,1983
1668,6.35216825823503,10.7530661702271,Cine34,luglio,svitati,1999
1669,16.34901199363363,5.552902426108568,Cine34,luglio,la professoressa di lingue,1976
1670,27.40445799084986,5.3296423569332765,Cine34,luglio,la ripetente fa l'occhietto al preside,1980
1671,21.914412320426795,4.873068075374342,Cine34,luglio,il silenzio dei prosciutti,1994
1672,18.026765524343315,13.156231411024311,Cine34,luglio,mia moglie torna a scuola,1981
1673,7.054099951848217,5.009518270980859,Cine34,luglio,il corpo,1974
1674,-10.640476963639726,-5.782197471909983,Cine34,luglio,il deserto rosso,1964
1675,19.94965378902618,1.544582308100879,Cine34,luglio,occhio alla perestrojka,1990
1676,31.691640024164823,0.0866285550502811,Cine34,luglio,l'insegnante balla... con tutta la classe,1979
1677,12.631059007412905,1.1838162280008917,Cine34,luglio,lezioni private,1975
1678,14.348813778051364,16.665957082933897,Cine34,luglio,tutti defunti... tranne i morti,1977
1679,5.921064594384201,-8.65055973116266,Cine34,luglio,la banda del gobbo,1978
1680,19.02716662201832,-0.3141834801247729,Cine34,luglio,sbamm!,1980
1681,11.041178161437578,1.4099044525912776,Cine34,luglio,l'allenatore nel pallone,1984
1682,7.108089472903906,-16.734480347022902,Cine34,luglio,l'allenatore nel pallone,1984
1683,5.122932268913013,-13.327650478309083,Cine34,luglio,roma a mano armata,1976
1684,25.748898948757603,-4.105828814280432,Cine34,luglio,la ragazza dalla pelle di luna,1972
1685,3.7632925214468544,-4.751108083342889,Cine34,luglio,il consigliori,1973
1686,13.827704663187443,-2.3872345857400763,Cine34,luglio,il trucido e lo sbirro,1976
1687,20.518709186520105,-5.4148911390412655,Cine34,luglio,il paradiso all'improvviso,2003
1688,11.087380359285538,-7.900343528420315,Cine34,luglio,la banda del trucido,1977
1689,12.082617458386302,-4.685421079091219,Cine34,luglio,camere da letto,1997
1690,0.2725518839096311,2.18362923217717,Cine34,luglio,camerieri,1995
1691,1.1689841104245056,-14.558562054004772,Cine34,luglio,camerieri,1995
1692,17.64930804430714,16.33835801908568,Cine34,luglio,dottor jekyll e gentile signora,1979
1693,22.32276744637383,3.786253775638596,Cine34,luglio,tutti gli uomini del deficiente,1999
1694,14.640021731668153,-8.184107223126253,Cine34,luglio,adulterio all'italiana,1966
1695,11.212265503961726,15.624410449925756,Cine34,luglio,kakkientruppen,1977
1696,14.71906263797202,-1.2435291523369516,Cine34,luglio,kakkientruppen,1977
1697,23.9511572058706,-10.082548320982731,Cine34,luglio,ho vinto la lotteria di capodanno,1989
1698,2.6628753943674983,-21.93666882318609,Cine34,luglio,cari fottutissimi amici,1994
1699,2.9924027659540893,-20.16074086928693,Cine34,luglio,cari fottutissimi amici,1994
1700,3.0398208688801502,-21.34598181409685,Cine34,luglio,cari fottutissimi amici,1994
1701,-0.5119714688385144,-25.489834382010493,Cine34,luglio,cari fottutissimi amici,1994
1702,14.594409149018311,-4.771132604942609,Cine34,luglio,le giraffe,2000
1703,7.405689518764743,-19.31727573809616,Cine34,luglio,miliardi,1991
1704,14.222529227013846,-7.23755884018462,Cine34,luglio,ravanello pallido,2001
1705,13.341167857942889,1.937680404517288,Cine34,luglio,ravanello pallido,2001
1706,6.498123003479255,-16.956185009586655,Cine34,luglio,il barbiere di rio,1996
1707,21.95076066920051,5.897572337836011,Cine34,luglio,maciste contro i mongoli,1963
1708,-2.140586992649767,3.0754767293258136,Cine34,luglio,belle al bar,1994
