,day,day_number,month,daytime,title,duration,duration_with_advertising,channel,year,genres,rating,advertising,sharing
145,Lunedì,9,maggio,notte,match point,124,125,Sky Due,2005,"Romance,Thriller,Drama",7.6,1,0.13
146,Martedì,31,maggio,notte,la leggenda del pianista sull'oceano,169,170,Sky Due,1998,"Romance,Drama",8.1,1,0.13
147,Mercoledì,25,maggio,notte,il profeta,100,155,Sky Due,1968,Comedy,6.1,55,0.13
148,Mercoledì,4,maggio,notte,"il buono, il brutto, il cattivo",161,175,Sky Due,1966,Western,8.8,14,0.13
149,Giovedì,12,maggio,notte,c'era una volta il west,165,165,Sky Due,1968,Western,8.5,0,0.13
150,Giovedì,19,maggio,notte,thank you for smoking,92,95,Sky Due,2005,"Comedy,Drama",7.6,3,0.13
151,Domenica,8,maggio,notte,thank you for smoking,92,95,Sky Due,2005,"Comedy,Drama",7.6,3,0.13
152,Domenica,8,maggio,notte,dark night,90,90,Sky Due,2006,Horror,6.1,0,0.13
153,Lunedì,2,maggio,notte,flags of our fathers,135,135,Sky Due,2006,"Action,Adventure,Drama",7.1,0,0.13
154,Venerdì,6,maggio,notte,eyes wide shut,159,160,Sky Due,1999,"Thriller,Drama",7.4,1,0.13
155,Martedì,10,maggio,notte,moulin rouge!,127,130,Sky Due,2001,"Romance,Drama",7.6,3,0.13
156,Giovedì,19,maggio,mattina,the blind side,129,130,Sky Due,2009,Drama,7.6,1,0.055
157,Domenica,8,maggio,mattina,la leggenda del pianista sull'oceano,169,170,Sky Due,1998,"Romance,Drama",8.1,1,0.055
158,Martedì,3,maggio,mattina,changeling,141,145,Sky Due,2008,"Crime,Drama",7.7,4,0.055
159,Martedì,17,maggio,mattina,syriana,128,130,Sky Due,2005,"Thriller,Drama",6.9,2,0.055
160,Domenica,1,maggio,mattina,atlas,79,90,Sky Due,1961,"Action,Adventure,Drama",4.1,11,0.055
161,Lunedì,16,maggio,mattina,marnie,130,135,Sky Due,1964,"Crime,Drama",7.2,5,0.055
162,Domenica,22,maggio,mattina,nuovomondo,118,120,Sky Due,2006,"Romance,Drama",6.9,2,0.055
163,Lunedì,9,maggio,mattina,blade runner,117,120,Sky Due,1982,"Action,Sci-Fi,Thriller",8.1,3,0.055
164,Lunedì,9,maggio,mattina,"buongiorno, notte",106,110,Sky Due,2003,Drama,7.1,4,0.055
165,Sabato,28,maggio,mattina,"buongiorno, notte",106,110,Sky Due,2003,Drama,7.1,4,0.055
166,Sabato,28,maggio,mattina,shiraz,97,115,Sky Due,1928,"Romance,Drama",7.0,18,0.055
167,Martedì,17,maggio,mattina,the conspirator,122,130,Sky Due,2010,"Crime,Drama",6.9,8,0.055
168,Giovedì,5,maggio,pomeriggio,michael clayton,119,125,Sky Due,2007,"Crime,Drama",7.2,6,0.055
169,Lunedì,16,maggio,pomeriggio,the departed,151,155,Sky Due,2006,"Thriller,Crime,Drama",8.5,4,0.055
170,Domenica,1,maggio,pomeriggio,ted bundy,99,105,Sky Due,2002,"Crime,Drama",5.8,6,0.055
171,Venerdì,6,maggio,pomeriggio,suburbicon,105,105,Sky Due,2017,"Comedy,Crime,Drama",5.7,0,0.055
172,Lunedì,9,maggio,pomeriggio,burn after reading,96,100,Sky Due,2008,"Comedy,Crime,Drama",7.0,4,0.055
173,Sabato,14,maggio,pomeriggio,forrest gump,142,145,Sky Due,1994,"Romance,Drama",8.8,3,0.055
174,Martedì,17,maggio,pomeriggio,marnie,130,130,Sky Due,1964,"Crime,Drama",7.2,0,0.055
175,Sabato,14,maggio,pomeriggio,cast away,143,150,Sky Due,2000,"Romance,Adventure,Drama",7.8,7,0.055
176,Martedì,10,maggio,pomeriggio,"buongiorno, notte",106,110,Sky Due,2003,Drama,7.1,4,0.055
177,Sabato,21,maggio,pomeriggio,moulin rouge!,127,130,Sky Due,2001,"Romance,Drama",7.6,3,0.055
178,Lunedì,2,maggio,sera,syriana,128,130,Sky Due,2005,"Thriller,Drama",6.9,2,0.075
179,Domenica,15,maggio,sera,n (io e napoleone),110,110,Sky Due,2006,Comedy,6.3,0,0.075
180,Mercoledì,4,maggio,sera,n (io e napoleone),110,110,Sky Due,2006,Comedy,6.3,0,0.075
181,Venerdì,27,maggio,sera,ted bundy,99,105,Sky Due,2002,"Crime,Drama",5.8,6,0.075
182,Mercoledì,11,maggio,sera,ted bundy,99,105,Sky Due,2002,"Crime,Drama",5.8,6,0.075
183,Mercoledì,11,maggio,sera,shakespeare in love,123,130,Sky Due,1998,"Comedy,Drama",7.1,7,0.075
184,Domenica,29,maggio,sera,marnie,130,135,Sky Due,1964,"Crime,Drama",7.2,5,0.075
185,Lunedì,16,maggio,sera,marnie,130,135,Sky Due,1964,"Crime,Drama",7.2,5,0.075
186,Lunedì,9,maggio,sera,"buongiorno, notte",106,110,Sky Due,2003,Drama,7.1,4,0.075
187,Venerdì,27,maggio,sera,"buongiorno, notte",106,110,Sky Due,2003,Drama,7.1,4,0.075
188,Martedì,17,maggio,sera,gomorra,137,145,Sky Due,2008,"Crime,Drama",7.0,8,0.075
189,Giovedì,26,maggio,sera,pulp fiction,154,155,Sky Due,1994,"Crime,Drama",8.9,1,0.075
190,Lunedì,9,maggio,sera,la donna scimmia,93,100,Sky Due,1964,"Comedy,Drama",7.4,7,0.075
191,Venerdì,19,agosto,notte,match point,124,125,Sky Due,2005,"Romance,Thriller,Drama",7.6,1,0.13
192,Domenica,14,agosto,notte,la leggenda del pianista sull'oceano,169,170,Sky Due,1998,"Romance,Drama",8.1,1,0.13
193,Sabato,27,agosto,notte,il profeta,100,155,Sky Due,1968,Comedy,6.1,55,0.13
194,Venerdì,12,agosto,notte,il profeta,100,155,Sky Due,1968,Comedy,6.1,55,0.13
195,Martedì,30,agosto,notte,the wrestler,95,110,Sky Due,1974,"Action,Crime,Drama",5.2,15,0.13
196,Domenica,28,agosto,notte,syriana,128,130,Sky Due,2005,"Thriller,Drama",6.9,2,0.13
197,Venerdì,12,agosto,notte,c'era una volta il west,165,165,Sky Due,1968,Western,8.5,0,0.13
198,Mercoledì,10,agosto,notte,ted bundy,99,105,Sky Due,2002,"Crime,Drama",5.8,6,0.13
199,Sabato,20,agosto,notte,ted bundy,99,100,Sky Due,2002,"Crime,Drama",5.8,1,0.13
200,Lunedì,22,agosto,notte,suburbicon,105,105,Sky Due,2017,"Comedy,Crime,Drama",5.7,0,0.13
201,Sabato,13,agosto,notte,blade runner,117,120,Sky Due,1982,"Action,Sci-Fi,Thriller",8.1,3,0.13
202,Sabato,27,agosto,notte,l'imbalsamatore,100,100,Sky Due,2002,"Romance,Drama",7.0,0,0.13
203,Venerdì,19,agosto,notte,motherless brooklyn,144,150,Sky Due,2019,"Crime,Drama",6.8,6,0.13
204,Venerdì,5,agosto,notte,la finestra di fronte,106,110,Sky Due,2003,"Romance,Drama",7.3,4,0.13
205,Giovedì,25,agosto,mattina,the blind side,129,130,Sky Due,2009,Drama,7.6,1,0.06
206,Martedì,30,agosto,mattina,la leggenda del pianista sull'oceano,169,170,Sky Due,1998,"Romance,Drama",8.1,1,0.06
207,Venerdì,26,agosto,mattina,la padrina,95,110,Sky Due,1973,Crime,6.0,15,0.06
208,Mercoledì,24,agosto,mattina,saturno contro,110,110,Sky Due,2007,"Romance,Drama",6.7,0,0.06
209,Giovedì,4,agosto,mattina,barry lyndon,185,185,Sky Due,1975,"Adventure,Drama",8.1,0,0.06
210,Martedì,9,agosto,mattina,syriana,128,130,Sky Due,2005,"Thriller,Drama",6.9,2,0.06
211,Martedì,16,agosto,mattina,n (io e napoleone),110,110,Sky Due,2006,Comedy,6.3,0,0.06
